handle,product_id,strategy,status,detail
the-standard-machine-mr30189088318,9413343641835,own_files,FAIL_422,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/cdn.shopify.com\/s\/files\/1\/0065\/0048\/3116\/produc"
the-standard-machine-mr30189088318,9413343641835,master_box,OK,https://customwheelhousellc.box.com/shared/static/2oxjdawg1qzam8g6hk20jongom1e9p
the-standard-machine-mr30129080318,9413343805675,own_files,FAIL_422,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/cdn.shopify.com\/s\/files\/1\/0065\/0048\/3116\/produc"
the-standard-machine-mr30129080318,9413343805675,master_box,OK,https://customwheelhousellc.box.com/shared/static/2oxjdawg1qzam8g6hk20jongom1e9p
the-standard-machine-mr30129087318,9413343871211,own_files,FAIL_422,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/cdn.shopify.com\/s\/files\/1\/0065\/0048\/3116\/produc"
the-standard-machine-mr30129087318,9413343871211,master_box,OK,https://customwheelhousellc.box.com/shared/static/2oxjdawg1qzam8g6hk20jongom1e9p
701-bronze-mr70166568990,9413346132203,own_files,FAIL_422,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/cdn.shopify.com\/s\/files\/1\/0065\/0048\/3116\/produc"
701-bronze-mr70166568990,9413346132203,master_box,OK,https://customwheelhousellc.box.com/shared/static/nsuo1efq076r91ucurqa2zq2tm86ty
312-bronze-mr31289080918,9413349441771,own_files,FAIL_422,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/cdn.shopify.com\/s\/files\/1\/0065\/0048\/3116\/produc"
312-bronze-mr31289080918,9413349441771,master_box,OK,https://customwheelhousellc.box.com/shared/static/zg9mp3vhr4daukr6mjezm75y8yu498
mr704-titanium-mr70457051815,9413357043947,own_files,FAIL_422,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/cdn.shopify.com\/s\/files\/1\/0065\/0048\/3116\/produc"
mr704-titanium-mr70457051815,9413357043947,master_box,FAIL_422,"{""errors"":{""image"":[""Could not process image: [\""Could not generate an image extension name.\""]""]}}"
mr704-titanium-mr70457051815,9413357043947,sibling_files,FAIL_422,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/cdn.shopify.com\/s\/files\/1\/0065\/0048\/3116\/produc"
mr704-titanium-mr70478550800,9413357175019,own_files,FAIL_422,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/cdn.shopify.com\/s\/files\/1\/0065\/0048\/3116\/produc"
mr704-titanium-mr70478550800,9413357175019,master_box,OK,https://customwheelhousellc.box.com/shared/static/5nqrok0urn8ukxh8alulk0yz97j8yz
mr704-titanium-mr70478558800,9413357338859,own_files,FAIL_422,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/cdn.shopify.com\/s\/files\/1\/0065\/0048\/3116\/produc"
mr704-titanium-mr70478558800,9413357338859,master_box,OK,https://customwheelhousellc.box.com/shared/static/5nqrok0urn8ukxh8alulk0yz97j8yz
316-gloss-titanium-mr31678062825,9413357830379,own_files,FAIL_422,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/cdn.shopify.com\/s\/files\/1\/0065\/0048\/3116\/produc"
316-gloss-titanium-mr31678062825,9413357830379,master_box,FAIL_422,"{""errors"":{""image"":[""Could not process image: [\""Could not generate an image extension name.\""]""]}}"
316-gloss-titanium-mr31678062825,9413357830379,sibling_files,FAIL_422,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/cdn.shopify.com\/s\/files\/1\/0065\/0048\/3116\/produc"
316-gloss-titanium-mr31678016825,9413357895915,own_files,FAIL_422,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/cdn.shopify.com\/s\/files\/1\/0065\/0048\/3116\/produc"
316-gloss-titanium-mr31678016825,9413357895915,master_box,FAIL_422,"{""errors"":{""image"":[""Could not process image: [\""Could not generate an image extension name.\""]""]}}"
316-gloss-titanium-mr31678016825,9413357895915,sibling_files,FAIL_422,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/cdn.shopify.com\/s\/files\/1\/0065\/0048\/3116\/produc"
316-gloss-titanium-mr31678060825,9413358026987,own_files,FAIL_422,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/cdn.shopify.com\/s\/files\/1\/0065\/0048\/3116\/produc"
316-gloss-titanium-mr31678060825,9413358026987,master_box,OK,https://customwheelhousellc.box.com/shared/static/bys9dc2w1io8zm3apjglic2e2uaoh3
316-gloss-titanium-mr31678516800,9413358256363,own_files,FAIL_422,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/cdn.shopify.com\/s\/files\/1\/0065\/0048\/3116\/produc"
316-gloss-titanium-mr31678516800,9413358256363,master_box,OK,https://customwheelhousellc.box.com/shared/static/bys9dc2w1io8zm3apjglic2e2uaoh3
316-gloss-titanium-mr31678560800,9413358321899,own_files,FAIL_422,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/cdn.shopify.com\/s\/files\/1\/0065\/0048\/3116\/produc"
316-gloss-titanium-mr31678560800,9413358321899,master_box,OK,https://customwheelhousellc.box.com/shared/static/bys9dc2w1io8zm3apjglic2e2uaoh3
316-gloss-titanium-mr31689016818,9413358420203,own_files,FAIL_422,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/cdn.shopify.com\/s\/files\/1\/0065\/0048\/3116\/produc"
316-gloss-titanium-mr31689016818,9413358420203,master_box,OK,https://customwheelhousellc.box.com/shared/static/bys9dc2w1io8zm3apjglic2e2uaoh3
316-gloss-titanium-mr31689060818,9413358485739,own_files,FAIL_422,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/cdn.shopify.com\/s\/files\/1\/0065\/0048\/3116\/produc"
316-gloss-titanium-mr31689060818,9413358485739,master_box,OK,https://customwheelhousellc.box.com/shared/static/bys9dc2w1io8zm3apjglic2e2uaoh3
316-gloss-titanium-mr31629050818,9413358584043,own_files,FAIL_422,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/cdn.shopify.com\/s\/files\/1\/0065\/0048\/3116\/produc"
316-gloss-titanium-mr31629050818,9413358584043,master_box,OK,https://customwheelhousellc.box.com/shared/static/ljh7x7y7yvamj9f5n2w0svej7f8w3q
411-utv-bead-grip-gloss-titanium-mr41157047843,9413360386283,master_box,OK,https://customwheelhousellc.box.com/shared/static/58okmtyuejqeqs3tu12d78k9zzcq39
411-utv-bead-grip-gloss-titanium-mr41151046864,9413360746731,master_box,OK,https://customwheelhousellc.box.com/shared/static/58okmtyuejqeqs3tu12d78k9zzcq39
415-utv-beadlock-graphite-gloss-graphite-ring-mr415570121252b,9413363138795,own_files,FAIL_422,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/cdn.shopify.com\/s\/files\/1\/0065\/0048\/3116\/produc"
415-utv-beadlock-graphite-gloss-graphite-ring-mr415570121252b,9413363138795,master_box,OK,https://customwheelhousellc.box.com/shared/static/k34yf2a17st0wk69mhbebv7p4y2udg
415-utv-beadlock-graphite-gloss-graphite-ring-mr415510471264b,9413363237099,own_files,FAIL_422,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/cdn.shopify.com\/s\/files\/1\/0065\/0048\/3116\/produc"
415-utv-beadlock-graphite-gloss-graphite-ring-mr415510471264b,9413363237099,master_box,OK,https://customwheelhousellc.box.com/shared/static/2i6ov12bvp7qkjtseo9sfypvh5afxo
415-utv-beadlock-graphite-gloss-graphite-ring-mr415510461264b,9413363302635,own_files,FAIL_422,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/cdn.shopify.com\/s\/files\/1\/0065\/0048\/3116\/produc"
415-utv-beadlock-graphite-gloss-graphite-ring-mr415510461264b,9413363302635,master_box,OK,https://customwheelhousellc.box.com/shared/static/2i6ov12bvp7qkjtseo9sfypvh5afxo
415-utv-beadlock-graphite-gloss-graphite-ring-mr415510121264b,9413363335403,own_files,FAIL_422,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/cdn.shopify.com\/s\/files\/1\/0065\/0048\/3116\/produc"
415-utv-beadlock-graphite-gloss-graphite-ring-mr415510121264b,9413363335403,master_box,OK,https://customwheelhousellc.box.com/shared/static/k34yf2a17st0wk69mhbebv7p4y2udg
415-utv-beadlock-matte-black-gloss-black-ring-mr415510471064b,9413363597547,own_files,FAIL_422,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/cdn.shopify.com\/s\/files\/1\/0065\/0048\/3116\/produc"
415-utv-beadlock-matte-black-gloss-black-ring-mr415510471064b,9413363597547,master_box,OK,https://customwheelhousellc.box.com/shared/static/a3hojw7q1zg51fe0st9o7cla5jp0s2
319-method-bronze-mr31978516900,9413365530859,own_files,FAIL_422,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/cdn.shopify.com\/s\/files\/1\/0065\/0048\/3116\/produc"
319-method-bronze-mr31978516900,9413365530859,master_box,OK,https://customwheelhousellc.box.com/shared/static/xz150jms28blrzufobwa3d6jb2f0ba
319-method-bronze-mr31978560900,9413365563627,own_files,FAIL_422,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/cdn.shopify.com\/s\/files\/1\/0065\/0048\/3116\/produc"
319-method-bronze-mr31978560900,9413365563627,master_box,OK,https://customwheelhousellc.box.com/shared/static/xz150jms28blrzufobwa3d6jb2f0ba
319-method-bronze-mr31978580900,9413365661931,own_files,FAIL_422,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/cdn.shopify.com\/s\/files\/1\/0065\/0048\/3116\/produc"
319-method-bronze-mr31978580900,9413365661931,master_box,OK,https://customwheelhousellc.box.com/shared/static/139g80udj4iuwh3sj4fjv94geq79ig
319-method-bronze-mr31978587900,9413365760235,own_files,FAIL_422,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/cdn.shopify.com\/s\/files\/1\/0065\/0048\/3116\/produc"
319-method-bronze-mr31978587900,9413365760235,master_box,OK,https://customwheelhousellc.box.com/shared/static/139g80udj4iuwh3sj4fjv94geq79ig
319-method-bronze-mr31979060912n,9413365956843,own_files,FAIL_422,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/cdn.shopify.com\/s\/files\/1\/0065\/0048\/3116\/produc"
319-method-bronze-mr31979060912n,9413365956843,master_box,OK,https://customwheelhousellc.box.com/shared/static/xz150jms28blrzufobwa3d6jb2f0ba
319-method-bronze-mr31988560940,9413366186219,own_files,FAIL_422,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/cdn.shopify.com\/s\/files\/1\/0065\/0048\/3116\/produc"
319-method-bronze-mr31988560940,9413366186219,master_box,OK,https://customwheelhousellc.box.com/shared/static/xz150jms28blrzufobwa3d6jb2f0ba
319-method-bronze-mr31988516940,9413366218987,own_files,FAIL_422,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/cdn.shopify.com\/s\/files\/1\/0065\/0048\/3116\/produc"
319-method-bronze-mr31988516940,9413366218987,master_box,OK,https://customwheelhousellc.box.com/shared/static/xz150jms28blrzufobwa3d6jb2f0ba
319-method-bronze-mr31989016918,9413366317291,own_files,FAIL_422,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/cdn.shopify.com\/s\/files\/1\/0065\/0048\/3116\/produc"
319-method-bronze-mr31989016918,9413366317291,master_box,OK,https://customwheelhousellc.box.com/shared/static/xz150jms28blrzufobwa3d6jb2f0ba
319-method-bronze-mr31989060918,9413366350059,own_files,FAIL_422,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/cdn.shopify.com\/s\/files\/1\/0065\/0048\/3116\/produc"
319-method-bronze-mr31989060918,9413366350059,master_box,OK,https://customwheelhousellc.box.com/shared/static/xz150jms28blrzufobwa3d6jb2f0ba
319-method-bronze-mr31989080918,9413366448363,own_files,FAIL_422,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/cdn.shopify.com\/s\/files\/1\/0065\/0048\/3116\/produc"
319-method-bronze-mr31989080918,9413366448363,master_box,OK,https://customwheelhousellc.box.com/shared/static/139g80udj4iuwh3sj4fjv94geq79ig
319-method-bronze-mr31989088918,9413366513899,own_files,FAIL_422,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/cdn.shopify.com\/s\/files\/1\/0065\/0048\/3116\/produc"
319-method-bronze-mr31989088918,9413366513899,master_box,OK,https://customwheelhousellc.box.com/shared/static/139g80udj4iuwh3sj4fjv94geq79ig
319-method-bronze-mr31929016918,9413366677739,own_files,FAIL_422,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/cdn.shopify.com\/s\/files\/1\/0065\/0048\/3116\/produc"
319-method-bronze-mr31929016918,9413366677739,master_box,OK,https://customwheelhousellc.box.com/shared/static/xz150jms28blrzufobwa3d6jb2f0ba
319-method-bronze-mr31929060918,9413366743275,own_files,FAIL_422,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/cdn.shopify.com\/s\/files\/1\/0065\/0048\/3116\/produc"
319-method-bronze-mr31929060918,9413366743275,master_box,OK,https://customwheelhousellc.box.com/shared/static/xz150jms28blrzufobwa3d6jb2f0ba
319-method-bronze-mr31929087918,9413366776043,own_files,FAIL_422,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/cdn.shopify.com\/s\/files\/1\/0065\/0048\/3116\/produc"
319-method-bronze-mr31929087918,9413366776043,master_box,OK,https://customwheelhousellc.box.com/shared/static/139g80udj4iuwh3sj4fjv94geq79ig
319-method-bronze-mr31929088918,9413366841579,own_files,FAIL_422,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/cdn.shopify.com\/s\/files\/1\/0065\/0048\/3116\/produc"
319-method-bronze-mr31929088918,9413366841579,master_box,OK,https://customwheelhousellc.box.com/shared/static/139g80udj4iuwh3sj4fjv94geq79ig
319-method-bronze-mr31929080918,9413366907115,own_files,FAIL_422,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/cdn.shopify.com\/s\/files\/1\/0065\/0048\/3116\/produc"
319-method-bronze-mr31929080918,9413366907115,master_box,OK,https://customwheelhousellc.box.com/shared/static/139g80udj4iuwh3sj4fjv94geq79ig
318-method-bronze-mr31857051915,9413368643819,own_files,FAIL_422,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/cdn.shopify.com\/s\/files\/1\/0065\/0048\/3116\/produc"
318-method-bronze-mr31857051915,9413368643819,master_box,OK,https://customwheelhousellc.box.com/shared/static/b8u01mz6ulem9p0rv9ep1tn9bodrig
318-method-bronze-mr31878550925,9413369037035,own_files,FAIL_422,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/cdn.shopify.com\/s\/files\/1\/0065\/0048\/3116\/produc"
318-method-bronze-mr31878550925,9413369037035,master_box,OK,https://customwheelhousellc.box.com/shared/static/b8u01mz6ulem9p0rv9ep1tn9bodrig
318-method-bronze-mr31878580900,9413369233643,own_files,FAIL_422,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/cdn.shopify.com\/s\/files\/1\/0065\/0048\/3116\/produc"
318-method-bronze-mr31878580900,9413369233643,master_box,OK,https://customwheelhousellc.box.com/shared/static/tlnnriphzu5xg5oluypzwgqz2uj5ef
318-method-bronze-mr31878587900,9413369266411,own_files,FAIL_422,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/cdn.shopify.com\/s\/files\/1\/0065\/0048\/3116\/produc"
318-method-bronze-mr31878587900,9413369266411,master_box,OK,https://customwheelhousellc.box.com/shared/static/tlnnriphzu5xg5oluypzwgqz2uj5ef
318-method-bronze-mr31888558940,9413369331947,own_files,FAIL_422,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/cdn.shopify.com\/s\/files\/1\/0065\/0048\/3116\/produc"
318-method-bronze-mr31888558940,9413369331947,master_box,OK,https://customwheelhousellc.box.com/shared/static/b8u01mz6ulem9p0rv9ep1tn9bodrig
105-beadlock-matte-black-mr10579080538b,9413370085611,sibling_files,OK,https://cdn.shopify.com/s/files/1/0586/5658/7941/files/Beadlock_MR105_Matte_Blac
standard-matte-black-mr30157060506n,9413370282219,own_files,FAIL_422,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/cdn.shopify.com\/s\/files\/1\/0065\/0048\/3116\/produc"
standard-matte-black-mr30157060506n,9413370282219,master_box,OK,https://customwheelhousellc.box.com/shared/static/v9agac1104ziazdii5yyjyeoj2qhi1
standard-matte-black-mr30168060500,9413370511595,own_files,FAIL_422,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/cdn.shopify.com\/s\/files\/1\/0065\/0048\/3116\/produc"
standard-matte-black-mr30168060500,9413370511595,master_box,OK,https://customwheelhousellc.box.com/shared/static/v9agac1104ziazdii5yyjyeoj2qhi1
standard-matte-black-mr30177563550,9413370642667,own_files,FAIL_422,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/cdn.shopify.com\/s\/files\/1\/0065\/0048\/3116\/produc"
standard-matte-black-mr30177563550,9413370642667,master_box,OK,https://customwheelhousellc.box.com/shared/static/k4krtcsprgpmh0nwnl9a6wrgand1iy
standard-matte-black-mr30178564525,9413371003115,own_files,FAIL_422,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/cdn.shopify.com\/s\/files\/1\/0065\/0048\/3116\/produc"
standard-matte-black-mr30178564525,9413371003115,master_box,OK,https://customwheelhousellc.box.com/shared/static/v9agac1104ziazdii5yyjyeoj2qhi1
standard-matte-black-mr30178560500,9413371101419,own_files,FAIL_422,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/cdn.shopify.com\/s\/files\/1\/0065\/0048\/3116\/produc"
standard-matte-black-mr30178560500,9413371101419,master_box,OK,https://customwheelhousellc.box.com/shared/static/v9agac1104ziazdii5yyjyeoj2qhi1
standard-matte-black-mr30178516500,9413371166955,own_files,FAIL_422,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/cdn.shopify.com\/s\/files\/1\/0065\/0048\/3116\/produc"
standard-matte-black-mr30178516500,9413371166955,master_box,OK,https://customwheelhousellc.box.com/shared/static/v9agac1104ziazdii5yyjyeoj2qhi1
standard-matte-black-mr30178560525,9413371363563,own_files,FAIL_422,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/cdn.shopify.com\/s\/files\/1\/0065\/0048\/3116\/produc"
standard-matte-black-mr30178560525,9413371363563,master_box,OK,https://customwheelhousellc.box.com/shared/static/v9agac1104ziazdii5yyjyeoj2qhi1
standard-matte-black-mr30179060512n,9413371789547,own_files,FAIL_422,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/cdn.shopify.com\/s\/files\/1\/0065\/0048\/3116\/produc"
standard-matte-black-mr30179060512n,9413371789547,master_box,OK,https://customwheelhousellc.box.com/shared/static/v9agac1104ziazdii5yyjyeoj2qhi1
standard-matte-black-mr30189060512n,9413372281067,own_files,FAIL_422,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/cdn.shopify.com\/s\/files\/1\/0065\/0048\/3116\/produc"
standard-matte-black-mr30189060512n,9413372281067,master_box,OK,https://customwheelhousellc.box.com/shared/static/v9agac1104ziazdii5yyjyeoj2qhi1
standard-matte-black-mr30189060518,9413372313835,own_files,FAIL_422,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/cdn.shopify.com\/s\/files\/1\/0065\/0048\/3116\/produc"
standard-matte-black-mr30189060518,9413372313835,master_box,OK,https://customwheelhousellc.box.com/shared/static/v9agac1104ziazdii5yyjyeoj2qhi1
standard-matte-black-mr30189016518,9413372379371,own_files,FAIL_422,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/cdn.shopify.com\/s\/files\/1\/0065\/0048\/3116\/produc"
standard-matte-black-mr30189016518,9413372379371,master_box,OK,https://customwheelhousellc.box.com/shared/static/v9agac1104ziazdii5yyjyeoj2qhi1
standard-matte-black-mr30129060518,9413372608747,own_files,FAIL_422,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/cdn.shopify.com\/s\/files\/1\/0065\/0048\/3116\/produc"
standard-matte-black-mr30129060518,9413372608747,master_box,OK,https://customwheelhousellc.box.com/shared/static/v9agac1104ziazdii5yyjyeoj2qhi1
standard-matte-black-mr30129016518,9413372641515,own_files,FAIL_422,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/cdn.shopify.com\/s\/files\/1\/0065\/0048\/3116\/produc"
standard-matte-black-mr30129016518,9413372641515,master_box,OK,https://customwheelhousellc.box.com/shared/static/v9agac1104ziazdii5yyjyeoj2qhi1
704-hd-matte-black-mr70479080518h,9413374902507,master_box,OK,https://customwheelhousellc.box.com/shared/static/qau92y8lyjz4k2zcz0sm4jeaztmj4k
704-hd-matte-black-mr70479087518h,9413374968043,master_box,OK,https://customwheelhousellc.box.com/shared/static/qau92y8lyjz4k2zcz0sm4jeaztmj4k
704-hd-matte-black-mr70479088518h,9413375066347,master_box,OK,https://customwheelhousellc.box.com/shared/static/qau92y8lyjz4k2zcz0sm4jeaztmj4k
704-hd-titanium-mr70479087818h,9413375426795,master_box,OK,https://customwheelhousellc.box.com/shared/static/x6seev91fgufx6ml69nt3a8a2vtfae
704-hd-titanium-mr70479088818h,9413375459563,master_box,OK,https://customwheelhousellc.box.com/shared/static/x6seev91fgufx6ml69nt3a8a2vtfae
truck-beadlock-machined-mr10179070312br,9413375525099,sibling_files,OK,https://cdn.shopify.com/s/files/1/0586/5658/7941/files/Beadlock_MR101_Raw-Machin
103-beadlock-machined-mr10358055324br,9413375787243,NONE,SKIP,no source
103-beadlock-machined-mr10358060324br,9413375885547,NONE,SKIP,no source
103-beadlock-machined-mr10379055312br,9413375918315,NONE,SKIP,no source
103-beadlock-machined-mr10379060312b,9413375983851,NONE,SKIP,no source
103-beadlock-machined-mr10379070312br,9413376049387,NONE,SKIP,no source
103-beadlock-machined-mr10379070325br,9413376082155,NONE,SKIP,no source
103-beadlock-machined-mr10379070312hbvr,9413376147691,NONE,SKIP,no source
103-beadlock-machined-mr10379060312br,9413376245995,NONE,SKIP,no source
103-beadlock-machined-mr10379087312b,9413376377067,NONE,SKIP,no source
106-beadlock-machined-mr10679050344b,9413376475371,NONE,SKIP,no source
106-beadlock-machined-mr10679060344b,9413376540907,NONE,SKIP,no source
106-beadlock-machined-mr10679080344b,9413376606443,NONE,SKIP,no source
106-beadlock-bronze-mr10679080944b,9413376966891,sibling_files,OK,https://cdn.shopify.com/s/files/1/0586/5658/7941/files/Beadlock_MR106_Method-Bro
202-forged-machined-mr20279070312bvr,9413377065195,NONE,SKIP,no source
202-forged-machined-mr20279060312bvr,9413377130731,NONE,SKIP,no source
202-forged-machined-mr20279070325bvr,9413377196267,NONE,SKIP,no source
305-double-black-mr305680601000,9413377360107,master_box,OK,https://customwheelhousellc.box.com/shared/static/o059ef3me67gjd6xyue6590q6dbgna
305-double-black-mr305785581000,9413377458411,sibling_files,FAIL_422,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/cdn.shopify.com\/s\/files\/1\/0065\/0048\/3116\/produc"
305-double-black-mr305785161000,9413377556715,master_box,OK,https://customwheelhousellc.box.com/shared/static/o059ef3me67gjd6xyue6590q6dbgna
305-double-black-mr305785501000,9413377589483,sibling_files,FAIL_422,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/cdn.shopify.com\/s\/files\/1\/0065\/0048\/3116\/produc"
305-double-black-mr305785601000,9413377687787,master_box,OK,https://customwheelhousellc.box.com/shared/static/o059ef3me67gjd6xyue6590q6dbgna
305-double-black-mr305785601025,9413377753323,master_box,OK,https://customwheelhousellc.box.com/shared/static/o059ef3me67gjd6xyue6590q6dbgna
305-double-black-mr305785801000,9413377818859,master_box,OK,https://customwheelhousellc.box.com/shared/static/46dl3kqxebutadwquk3mhcda4fd5ig
305-double-black-mr305890601012n,9413377884395,master_box,OK,https://customwheelhousellc.box.com/shared/static/o059ef3me67gjd6xyue6590q6dbgna
305-double-black-mr305890581025,9413377982699,sibling_files,FAIL_422,"{""errors"":{""image"":[""Could not download image: [\""Image https:\/\/cdn.shopify.com\/s\/files\/1\/0065\/0048\/3116\/produc"
305-double-black-mr305890601018,9413378015467,master_box,OK,https://customwheelhousellc.box.com/shared/static/o059ef3me67gjd6xyue6590q6dbgna
305-double-black-mr305890801018,9413378146539,master_box,OK,https://customwheelhousellc.box.com/shared/static/46dl3kqxebutadwquk3mhcda4fd5ig
buggy-beadlock-machined-mr10155519320b,9413381423339,sibling_files,OK,https://cdn.shopify.com/s/files/1/0586/5658/7941/files/Beadlock_MR101_Raw-Machin
