"Brand","Part Number","Model","Category","Price health - Low","Price health - High","Your price","MAP","National Average"
"Hankook","1021390","Kinergy PT","Touring","$5.61","$0.00","$136.53","$137.99","$130.92"
"Hankook","1015379","Ventus V12 evo2","Performance","$22.29","$0.00","$137.66","","$115.37"
"Falken","28384483","WinterPeak F-ICE 1","Winter","$18.00","$0.00","$138.00","","$120.00"
"Pirelli","4078500","P4 Persist AS Plus","All Season","$0.00","$4.64","$138.73","","$143.37"
"General","15492560000","G-MAX RS","Performance","$12.51","$0.00","$138.97","$138.99","$126.46"
"Falken","28392234","Aklimate","Touring","$12.16","$0.00","$139.65","$141.00","$127.49"
"Goodyear","413524582","Assurance ComfortDrive","All Season","$0.00","$18.65","$139.99","$166.99","$158.64"
"Toyo","243530","Celsius II","All Weather","$0.00","$4.38","$140.92","$151.55","$145.30"
"Hankook","1028504","Ventus S1 AS","All Season","$5.46","$0.00","$140.95","$151.99","$135.49"
"Firestone","018970","Affinity AS","Touring","$11.96","$0.00","$141.45","$126.99","$129.49"
